"file","line","issue_text","physics_reclassification"
"Aging old/docs/switching_model.md","150","- C = 0: Single-phase dominance (A = 0 or B = 0 or A, B maximally different)","REAL_PROBLEM"
"Aging old/docs/switching_model.md","158","if (A(T) + B(T) < trivialThr) and (Rsw(T) < noiseFloor) and (T in physics window):","REAL_PROBLEM"
"Aging old/docs/switching_model.md","185","mask_SNR = Rsw > (0.02 * max(Rsw[mask_T]))      % Above noise floor","REAL_PROBLEM"
"Aging old/docs/switching_model.md","291","8. **Noise floor thresholding**: Regions with Rsw < 0.02Â·max(Rsw) excluded from fit","REAL_PROBLEM"
"Aging old/docs/switching_model.md","292","- Justification: Low SNR regions dominated by measurement noise","REAL_PROBLEM"
"Aging old/docs/switching_model.md","365","result.wB_over_wA      % Ratio wB / wA (phase dominance indicator)","REAL_PROBLEM"
"Aging old/docs/switching_model.md","382","Dominance   = corr(Rsw, 1 - A_basis)  % Correlation with AFM absence (FM dominance)","REAL_PROBLEM"
"Aging old/docs/switching_model.md","384","Instability = corr(Rsw, |dA/dT| + |dB/dT|)  % Correlation with basis gradients","UNCLEAR"
"Aging old/docs/switching_model.md","388","- High dominance: Switching occurs where FM dominates (A â†’ 0)","REAL_PROBLEM"
"Aging old/docs/switching_model.md","390","- High instability: Switching tied to rapid phase evolution","UNCLEAR"
"Aging old/docs/switching_model.md","493","**wB(J) increasing**: Higher current â†’ FM dominance","REAL_PROBLEM"
"Aging old/docs/switching_model.md","516","If Dominance correlation highest:","REAL_PROBLEM"
"Aging old/docs/switching_model.md","517","â†’ Switching driven by FM dominance (consider alternative model)","REAL_PROBLEM"
"Aging old/docs/switching_model.md","519","If Instability correlation highest:","UNCLEAR"
"Aging old/docs/switching_model.md","541","If correlation is weak: Check for Tp/Tsw mixing or inconsistent FM definitions.","UNCLEAR"
"Aging old/docs/switching_model.md","579","- Lambda scan too fine (fitting noise)","REAL_PROBLEM"
"Aging/ARCHITECTURE.md","197","## ðŸ›¡ï¸ Error Handling Flow","REAL_PROBLEM"
"Aging/ARCHITECTURE.md","207","â”œâ”€ No â†’ status = 'invalid_input_dimensions' â†’ RETURN","UNCLEAR"
"Aging/ARCHITECTURE.md","223","â”œâ”€ No â†’ status = 'aggregation_failed' â†’ RETURN","REAL_PROBLEM"
"Aging/ARCHITECTURE.md","227","â”œâ”€ No â†’ status = 'invalid_plateau_order' â†’ RETURN","UNCLEAR"
"Aging/ARCHITECTURE.md","249","pauseRuns(i).FM_step_mag = NaN;  % Failed, set to NaN","REAL_PROBLEM"
"Aging/ARCHITECTURE.md","276","pauseRuns(i).FM_plateau_reason   â† Error message","REAL_PROBLEM"
"Aging/ARCHITECTURE.md","285","pauseRuns(i).baseline_status     â† NEW: 'ok' or error code","REAL_PROBLEM"
"Aging/ARCHITECTURE.md","332","| **Robustness** | Handles outliers & noise | Use median aggregation + drop edges |","REAL_PROBLEM"
