T_K,kappa1,kappa2,alpha,alpha_res,theta_rad,r,delta_theta_rad
4,0.179546725888347,-0.0656223683737462,-0.365489083964439,0.206890813243776,-0.350406373255516,0.191163077000254,NaN
6,0.190781377067108,-0.0615892619750529,-0.322826383381165,0.250004865620464,-0.312264682798106,0.200476360267872,0.0381416904574101
8,0.19690765457114,-0.0497927909180983,-0.252873820606648,-0.320296435829951,-0.247681601167612,0.203105751903093,0.0645830816304939
10,0.17710703759542,-0.0252478335549061,-0.142556918673,-0.712487105029701,-0.141602822545212,0.178897612798611,0.106078778622399
12,0.15269503326033,0.0481763654815828,0.315507089215186,-0.0140320891101201,0.305622072770357,0.160114756888265,0.447224895315569
14,0.12447122604336,0.0598040402254154,0.480464779904895,0.183127832882655,0.447897653655914,0.138092756290909,0.142275580885558
16,0.107134927362003,0.0756877685633675,0.706471460120773,0.344779493014267,0.615056034430985,0.131173667216265,0.167158380775071
18,0.0980185873442758,0.0839682454095365,0.856656351459244,0.169705144080602,0.708345748482042,0.129067074430792,0.0932897140510575
20,0.0898318457622685,0.0455834306546876,0.507430636294838,-0.741530506542153,0.469574432404152,0.100735344657705,-0.23877131607789
22,0.0382966167716672,0.10405084115363,2.71697214858441,0.943606441288392,1.21812672107051,0.110874741943032,0.748552288666358
24,0.0699734936967039,0.162440757725133,2.32146130117818,-0.109159592680226,1.1640543778117,0.176870827414919,-0.0540723432588142
26,0.0640590044738315,0.013878672075776,0.216654507664813,-0.200608860937995,0.21335702832405,0.0655452026678176,-0.950697349487645
