T_K,alpha_res,res_source,dT_K,abs_dT_K,regime,T_K_in_barrier,row_kind,rank_abs_alpha_res_desc
4,0.206890813243776,decomposition,-19,19,low,false,sample,7
6,0.250004865620464,decomposition,-17,17,low,true,sample,6
8,-0.320296435829951,decomposition,-15,15,low,true,sample,5
10,-0.712487105029701,decomposition,-13,13,low,true,sample,3
12,-0.0140320891101201,decomposition,-11,11,low,true,sample,12
14,0.183127832882655,decomposition,-9,9,low,true,sample,9
16,0.344779493014267,decomposition,-7,7,low,true,sample,4
18,0.169705144080602,decomposition,-5,5,low,true,sample,10
20,-0.741530506542153,decomposition,-3,3,low,true,sample,2
22,0.943606441288392,decomposition,-1,1,mid,true,sample,1
24,-0.109159592680226,decomposition,1,1,mid,true,sample,11
26,-0.200608860937995,decomposition,3,3,high,true,sample,8
28,,missing,,,high,false,sample,
30,,missing,,,high,false,sample,

metric,value
n_fit_barrier,11
corr_pearson_alpha_res_abs_dT,-0.198529189963041
corr_spearman_alpha_res_abs_dT,-0.0776263800461279
corr_pearson_alpha_res_dT,0.130278638283538
corr_spearman_alpha_res_dT,-0.00909090909090909
mean_alpha_res_regime_low,-0.104748396509649
mean_alpha_res_regime_mid,0.417223424304083
mean_alpha_res_regime_high,-0.200608860937995
rms_alpha_res_regime_low,0.418927655454559
rms_alpha_res_regime_mid,0.671680330482833
rms_alpha_res_regime_high,0.200608860937995
n_regime_low,8
n_regime_mid,2
n_regime_high,1
R2_model_abs_dT,0.0394138392673812
R2_model_regime_dummy,0.201845197552063
R2_model_quadratic_dT,0.0255691380385388
LOOCV_RMSE_abs_dT,0.570361497999112
LOOCV_RMSE_regime_dummy,0.507634819546746
LOOCV_RMSE_quadratic_dT,0.629283556734142
LOOCV_RMSE_constant,0.507634819546746
LOOCV_improvement_abs_dT,-0.062726678452366
LOOCV_improvement_regime_dummy,0
LOOCV_improvement_quadratic_dT,-0.121648737187396
mean_abs_alpha_res_regime_low,0.341995434013739
mean_abs_alpha_res_regime_mid,0.526383016984309
mean_abs_alpha_res_regime_high,0.200608860937995
peak_mean_abs_regime,mid
ALPHA_RES_IS_DISTANCE_TO_TRANSITION,NO
ALPHA_RES_PEAKS_AT_TRANSITION,YES
TRANSITION_MODEL_EXPLAINS_RESIDUAL,NO
