"blocker_type","severity","script_path","evidence","prevents_entrypoint_run","prevents_minimal_migration"
"ENTRYPOINT_PRECOMPUTED_ROOT_TABLE_INPUT","HIGH","Switching/analysis/analyze_phi_kappa_canonical_space.m","line 29: summary_table = readtable(summary_file);","NO","YES"
"ENTRYPOINT_HELPER_PATH_DEPENDENCY","HIGH","Switching/analysis/analyze_phi_kappa_canonical_space.m","line 16: context = createRunContext('Switching', struct('runLabel', 'phi_kappa_canonical_space_analysis')); | createRunContext.m found at: C:\Dev\matlab-functions\Aging\utils\createRunContext.m","YES","YES"
"ROOT_TABLE_LOADING_DEPENDENCY","MEDIUM","Switching/analysis/analyze_phi_kappa_canonical_space.m","line 29: summary_table = readtable(summary_file);","NO","NO"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/analyze_phi_kappa_canonical_space.m","line 9: baseFolder = 'C:\Dev\matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/experimental/run_switching_physical_baseline_model.m","line 19: exist(fullfile(probeDir, 'Aging'), 'dir') == 7 && ...","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/experimental/run_switching_physical_baseline_model.m","line 47: pointerPath = fullfile(repoRoot, 'run_dir_pointer.txt');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/experimental/run_switching_raw_baseline_correction_and_comparison.m","line 20: exist(fullfile(probeDir, 'Aging'), 'dir') == 7 && ...","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/experimental/run_switching_raw_baseline_correction_and_comparison.m","line 489: pointerPath = fullfile(repoRoot, 'run_dir_pointer.txt');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_aging_collapse_kappa1_kappa2.m","line 1: % run_aging_collapse_kappa1_kappa2","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_aging_collapse_kappa1_kappa2.m","line 16: repoRoot = 'C:\Dev\matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_aging_kappa_comparison.m","line 1: % RUN_AGING_KAPPA_COMPARISON Compare predictive power: kappa1 vs (kappa1 + kappa2)","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_aging_kappa_comparison.m","line 32: 'run_2026_03_14_074613_aging_clock_ratio_analysis', 'tables', 'table_clock_ratio.csv');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_aging_nonlinear_law_test.m","line 1: % run_aging_nonlinear_law_test","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_aging_nonlinear_law_test.m","line 8: repoRoot = 'C:\Dev\matlab-functions';","NO","NO"
"ROOT_TABLE_LOADING_DEPENDENCY","MEDIUM","Switching/analysis/run_alpha_observable_search.m","line 76: alphaTbl = readtable(alphaCsvPath, 'VariableNamingRule', 'preserve');","NO","NO"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_alpha_observable_search.m","line 8: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_alpha_physical_validity_test.m","line 12: clockRatioPath = 'C:/Dev/matlab-functions/results/aging/runs/run_2026_03_14_074613_aging_clock_ratio_analysis/tables/table_clock_ratio.csv';","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_alpha_physical_validity_test.m","line 8: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_asymmetric_spread_analysis.m","line 11: addpath(genpath(fullfile(repoRoot, 'Aging', 'utils')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_asymmetric_spread_analysis.m","line 4: % from run_2026_03_25_013346_pt_energy_robustness_audit (no PT regeneration).","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_build_relaxation_dataset.m","line 1: % run_build_relaxation_dataset","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_build_relaxation_dataset.m","line 8: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_build_relaxation_dataset_from_pipeline.m","line 1: % run_build_relaxation_dataset_from_pipeline","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_build_relaxation_dataset_from_pipeline.m","line 8: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_collapse_failure_mode_test.m","line 17: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_collapse_failure_mode_test.m","line 305: cfg = setDef(cfg, 'decompositionRunId', 'run_2026_03_24_220314_residual_decomposition');","NO","NO"
"ROOT_TABLE_LOADING_DEPENDENCY","MEDIUM","Switching/analysis/run_extract_tau_from_relaxation.m","line 76: tmp = readtable(p, 'VariableNamingRule', 'preserve');","NO","NO"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_extract_tau_from_relaxation.m","line 4: %   tools/run_matlab_safe.bat C:\Dev\matlab-functions\Switching\analysis\run_extract_tau_from_relaxation.m","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_kappa2_kww_shape_test.m","line 11: inRelaxPath = 'C:/Dev/matlab-functions/tables/relaxation_full_dataset.csv';","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_kappa2_kww_shape_test.m","line 3: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"ROOT_TABLE_LOADING_DEPENDENCY","MEDIUM","Switching/analysis/run_kappa2_opening_test.m","line 60: srcTbl = readtable(srcPath, 'VariableNamingRule', 'preserve');","NO","NO"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_kappa2_opening_test.m","line 7: % eval(fileread('C:/Dev/matlab-functions/Switching/analysis/run_kappa2_opening_test.m'))","NO","NO"
