"metric","value"
"n_points","14"
"corr_pearson_k1_k2","-0.742124142053164"
"pca_pc1_fraction","0.871062071026582"
"pca_pc2_fraction","0.128937928973418"
"kendall_tau_T_k1","-0.846153846153846"
"kendall_tau_T_k2","0.56043956043956"
"mono_diff_sign_changes_k1","3"
"mono_diff_sign_changes_k2","7"
"centroid_sep_low_vs_transition","0.0767687099973792"
"centroid_sep_transition_vs_high","0.357988308025693"
"centroid_sep_low_vs_high","0.392812531470765"
"bend_angle_deg_20_22_24","174.453349203643"
"path_speed_ratio_22_24_over_20_22","0.352879489823328"
"segment_norm_22_24","0.141632106176237"
"jump_norm_20_22","0.401361116927328"
"r2_linear_k2_on_k1","0.550748242218145"
"rmse_linear","0.138178450921266"
"best_poly_degree_k2_on_k1","4"
"r2_best_poly_k2_on_k1","0.831691792604348"
"rmse_best_poly","0.0845761816733186"
"relative_residual_variance_k2","0.168308207395652"
"verdict_COLLECTIVE_STATE_2D","YES"
"verdict_REGIME_IS_STATE_REORGANIZATION","YES"
"verdict_DIMENSION_REDUCTION_POSSIBLE","NO"
