T_K,kappa2,I_peak,width_asymmetry,slope_asymmetry,local_curvature,antisym_area_res2
4,0.179546725888347,35,NaN,NaN,NaN,NaN
6,0.190781377067108,35,NaN,NaN,NaN,NaN
8,0.19690765457114,35,NaN,NaN,NaN,NaN
10,0.17710703759542,35,NaN,NaN,NaN,NaN
12,0.15269503326033,35,NaN,NaN,NaN,NaN
14,0.12447122604336,35,NaN,NaN,NaN,NaN
16,0.107134927362003,35,NaN,NaN,NaN,NaN
18,0.0980185873442758,35,NaN,NaN,NaN,NaN
20,0.0898318457622685,35,NaN,NaN,NaN,NaN
22,0.0382966167716672,30,NaN,NaN,NaN,NaN
24,0.0699734936967039,30,NaN,NaN,NaN,NaN
26,0.0640590044738315,30,NaN,NaN,NaN,NaN
28,0.0611692729252666,25,NaN,NaN,NaN,NaN
30,0.0481472826690587,20,NaN,NaN,NaN,NaN
