"row_type","item_path","run_id","execution_status_missing_before","report_missing_before","figures_manifest_missing_before","execution_status_written","execution_status_backfilled_value","report_written","report_target_path","figures_manifest_written","figures_detected_count","has_run_manifest","has_error_log","script_path_from_manifest","classification","used_in_runs","usage_count","strategy_reason","completed_after"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_014130_MG119_3sec","run_2026_03_09_014130_MG119_3sec","NO","YES","YES","NO","","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_014130_MG119_3sec\reports\report.md","YES","5","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_124648_geometry_visualization","run_2026_03_09_124648_geometry_visualization","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_124648_geometry_visualization\reports\report.md","YES","10","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_130918_geometry_visualization","run_2026_03_09_130918_geometry_visualization","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_130918_geometry_visualization\reports\report.md","YES","5","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_140848_geometry_visualization","run_2026_03_09_140848_geometry_visualization","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_140848_geometry_visualization\reports\report.md","YES","6","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_141328_geometry_visualization","run_2026_03_09_141328_geometry_visualization","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_141328_geometry_visualization\reports\report.md","YES","6","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_112842_geometry_visualization","run_2026_03_10_112842_geometry_visualization","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_112842_geometry_visualization\reports\report.md","YES","114","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_145239_geometry_visualization","run_2026_03_10_145239_geometry_visualization","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_145239_geometry_visualization\report.md","YES","4","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_150549_geometry_visualization","run_2026_03_10_150549_geometry_visualization","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_150549_geometry_visualization\reports\report.md","YES","12","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_171522_observable_mode_correlation","run_2026_03_10_171522_observable_mode_correlation","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_171522_observable_mode_correlation\reports\report.md","YES","8","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation","run_2026_03_10_200643_observable_mode_correlation","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation\reports\report.md","YES","5","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_215702_tp_27_structured_export","run_2026_03_10_215702_tp_27_structured_export","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_215702_tp_27_structured_export\report.md","YES","30","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220156_tp_27_structured_export","run_2026_03_10_220156_tp_27_structured_export","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220156_tp_27_structured_export\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export","run_2026_03_10_220738_tp_30_structured_export","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\reports\report.md","YES","36","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222534_MG119_3sec","run_2026_03_10_222534_MG119_3sec","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222534_MG119_3sec\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222604_MG119_36sec","run_2026_03_10_222604_MG119_36sec","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222604_MG119_36sec\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222613_MG119_6min","run_2026_03_10_222613_MG119_6min","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222613_MG119_6min\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222624_MG119_60min","run_2026_03_10_222624_MG119_60min","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222624_MG119_60min\report.md","YES","0","YES","NO","","","","","","YES"
