T_K,antisymmetric_integral,slope_difference,local_curvature_window,kappa2,kappa1
4,-0.0308916758243634,-0.49487659463939,-0.998233449124881,-0.0640047699707212,0.1791081008295
6,-0.0374946100629135,-0.487558473108607,-1.03932722287578,-0.0605138392328379,0.19045556392729
8,-0.0454025870844515,-0.475888123805174,-1.02599172968686,-0.0497471999262748,0.19688352274809
10,-0.0422274511747607,-0.426285375432636,-0.852730178114852,-0.0256574859113368,0.177232764187154
12,-0.0311422520512123,-0.419344100265258,-0.838845031799863,0.0477612085102726,0.152888168813239
14,-0.0234532669845806,-0.360392034972563,-0.720918853623423,0.0594471535704106,0.124675211364648
16,-0.0187300005247634,-0.315767907520182,-0.631653909659373,0.0752278921170503,0.107313793093489
18,-0.0167704219117547,-0.277773186082625,-0.555650257068688,0.0836028764528488,0.0981713860724047
20,-0.0188246979786115,-0.221439811230306,-0.442962439141844,0.045131247968869,0.0899668104649814
22,0.00201532217575991,-0.118963264643421,-0.237971020576425,0.104307225804054,0.0383232558550202
24,-0.00946269438756128,-0.189207431005468,-0.37848562404516,0.161844364344758,0.0702769165389231
26,-0.0198727945445147,-0.118403825493066,-0.236851933050041,0.0132129836315959,0.0642312698752772
28,0.00317157002918245,-0.164118738157358,-0.328298855382675,0.0582242388396681,0.0612812241185018
30,0.00428324660833064,-0.175846771059195,-0.351759307374889,-0.360386723953782,0.0477758687518587
