variant_id,T_K,I_peak,width,S_peak,kappa1,collapse_rmse
ip_max__w_fwhm__sp_max__sc_fwhm,4,35,21.4741266295253,0.349600045040287,0.391172369183266,0.14885904223579
ip_max__w_fwhm__sp_max__sc_fwhm,6,35,21.1673597661233,0.341950817738385,0.354190756738024,0.127173069672938
ip_max__w_fwhm__sp_max__sc_fwhm,8,35,20.1257057835343,0.311011499245369,0.278434866476007,0.0881306837803698
ip_max__w_fwhm__sp_max__sc_fwhm,10,35,18.8978502373663,0.265625424732821,0.10751281553004,0.0666000832526363
ip_max__w_fwhm__sp_max__sc_fwhm,12,35,17.5091523375039,0.232986037937288,0.101773545680224,0.0641431922513293
ip_max__w_fwhm__sp_max__sc_fwhm,14,35,16.5232967451266,0.192544819951381,0.100034059635563,0.0638901585721818
ip_max__w_fwhm__sp_max__sc_fwhm,16,35,15.3577651079767,0.162443432649134,0.0735336722830185,0.0601949341737082
ip_max__w_fwhm__sp_max__sc_fwhm,18,35,14.52578362199,0.142095227831458,0.0214439542932208,0.068147549675854
ip_max__w_fwhm__sp_max__sc_fwhm,20,35,15.0734059235043,0.118297407736058,-0.00353059254165362,0.0447451455538042
ip_max__w_fwhm__sp_max__sc_fwhm,22,30,17.2137025922607,0.0848252860423066,0.308043375719315,0.193226289400962
ip_max__w_fwhm__sp_max__sc_fwhm,24,30,12.5009863451298,0.0930645821294685,0.416854423348554,0.128068293761957
ip_max__w_fwhm__sp_max__sc_fwhm,26,30,13.100114869552,0.0732255508855988,0.0898798306100495,0.16651310040166
ip_max__w_fwhm__sp_max__sc_fwhm,28,25,10.2742671408049,0.0809671274875996,0.0051130310258779,0.210048633905621
ip_max__w_fwhm__sp_max__sc_fwhm,30,20,8.70317861525431,0.0879097809338481,-0.0124410725933748,0.292262925681859
ip_max__w_fwhm__sp_max__sc_fwhm,32,15,30,0.0695147785421419,-0.801306703597932,0.346677444464861
ip_max__w_fwhm__sp_max__sc_fwhm,34,30,6.27666287147563,0.00111194952316543,-0.887343391887339,0.600848153029322
ip_max__w_fwhm__sp_max__sc_rms,4,35,21.4741266295253,0.349600045040287,0.208927664104033,0.150850928848889
ip_max__w_fwhm__sp_max__sc_rms,6,35,21.1673597661233,0.341950817738385,0.16678915268151,0.128069518823228
ip_max__w_fwhm__sp_max__sc_rms,8,35,20.1257057835343,0.311011499245369,0.0844644596187539,0.0882963726699354
ip_max__w_fwhm__sp_max__sc_rms,10,35,18.8978502373663,0.265625424732821,NaN,0.064172629201774
ip_max__w_fwhm__sp_max__sc_rms,12,35,17.5091523375039,0.232986037937288,NaN,0.0628890042769324
ip_max__w_fwhm__sp_max__sc_rms,14,35,16.5232967451266,0.192544819951381,NaN,0.069645918300654
ip_max__w_fwhm__sp_max__sc_rms,16,35,15.3577651079767,0.162443432649134,NaN,0.0658392897784458
ip_max__w_fwhm__sp_max__sc_rms,18,35,14.52578362199,0.142095227831458,NaN,0.0645240699569186
ip_max__w_fwhm__sp_max__sc_rms,20,35,15.0734059235043,0.118297407736058,NaN,0.0466653037440298
ip_max__w_fwhm__sp_max__sc_rms,22,30,17.2137025922607,0.0848252860423066,0.407121388924087,0.194797208048393
ip_max__w_fwhm__sp_max__sc_rms,24,30,12.5009863451298,0.0930645821294685,0.0301449152821344,0.0837475773484403
ip_max__w_fwhm__sp_max__sc_rms,26,30,13.100114869552,0.0732255508855988,-0.335594116083317,0.161780952137188
ip_max__w_fwhm__sp_max__sc_rms,28,25,10.2742671408049,0.0809671274875996,-0.0236751043177804,0.0850818643686243
ip_max__w_fwhm__sp_max__sc_rms,30,20,8.70317861525431,0.0879097809338481,NaN,0.0814731335071315
ip_max__w_fwhm__sp_max__sc_rms,32,15,30,0.0695147785421419,-0.948570368121536,0.360459386823009
ip_max__w_fwhm__sp_max__sc_rms,34,30,6.27666287147563,0.00111194952316543,NaN,0.557911813198742
ip_max__w_fwhm__sp_max__sc_asymmetric,4,35,21.4741266295253,0.349600045040287,0.0323150650416407,0.0357839337450037
ip_max__w_fwhm__sp_max__sc_asymmetric,6,35,21.1673597661233,0.341950817738385,-0.0249106582627877,0.0278457684240133
ip_max__w_fwhm__sp_max__sc_asymmetric,8,35,20.1257057835343,0.311011499245369,-0.131057476216942,0.0255337652163315
ip_max__w_fwhm__sp_max__sc_asymmetric,10,35,18.8978502373663,0.265625424732821,-0.181469230446445,0.0243684692737843
ip_max__w_fwhm__sp_max__sc_asymmetric,12,35,17.5091523375039,0.232986037937288,NaN,0.0119178265173135
ip_max__w_fwhm__sp_max__sc_asymmetric,14,35,16.5232967451266,0.192544819951381,NaN,0.0256026375015624
ip_max__w_fwhm__sp_max__sc_asymmetric,16,35,15.3577651079767,0.162443432649134,NaN,0.0432039954935205
ip_max__w_fwhm__sp_max__sc_asymmetric,18,35,14.52578362199,0.142095227831458,NaN,0.0452985413469352
ip_max__w_fwhm__sp_max__sc_asymmetric,20,35,15.0734059235043,0.118297407736058,NaN,0.0238675652399837
ip_max__w_fwhm__sp_max__sc_asymmetric,22,30,17.2137025922607,0.0848252860423066,0.369480900170859,0.081257066579108
ip_max__w_fwhm__sp_max__sc_asymmetric,24,30,12.5009863451298,0.0930645821294685,0.0500538599733902,0.0523024024407955
ip_max__w_fwhm__sp_max__sc_asymmetric,26,30,13.100114869552,0.0732255508855988,NaN,0.079368219414836
ip_max__w_fwhm__sp_max__sc_asymmetric,28,25,10.2742671408049,0.0809671274875996,NaN,0.046173653957069
ip_max__w_fwhm__sp_max__sc_asymmetric,30,20,8.70317861525431,0.0879097809338481,NaN,0.0290327358027245
ip_max__w_fwhm__sp_max__sc_asymmetric,32,15,30,0.0695147785421419,NaN,0.0144438477467336
ip_max__w_fwhm__sp_max__sc_asymmetric,34,30,6.27666287147563,0.00111194952316543,NaN,0.213962901919927
ip_max__w_fwhm__sp_local_avg__sc_fwhm,4,35,21.4741266295253,0.289166891071462,0.472923706369929,0.349258807978066
ip_max__w_fwhm__sp_local_avg__sc_fwhm,6,35,21.1673597661233,0.279272791526239,0.43368284550758,0.325554537555871
ip_max__w_fwhm__sp_local_avg__sc_fwhm,8,35,20.1257057835343,0.244084879350048,0.35478004821715,0.275097146904105
ip_max__w_fwhm__sp_local_avg__sc_fwhm,10,35,18.8978502373663,0.201653947176535,0.141619530335241,0.229418237600678
ip_max__w_fwhm__sp_local_avg__sc_fwhm,12,35,17.5091523375039,0.168994037092579,0.140311549347005,0.237972114353419
ip_max__w_fwhm__sp_local_avg__sc_fwhm,14,35,16.5232967451266,0.135602469533866,0.142040481030656,0.226642672270349
ip_max__w_fwhm__sp_local_avg__sc_fwhm,16,35,15.3577651079767,0.109663353680607,0.108924829854646,0.212830925224841
ip_max__w_fwhm__sp_local_avg__sc_fwhm,18,35,14.52578362199,0.093020592592334,0.0327570862105399,0.275884193376064
ip_max__w_fwhm__sp_local_avg__sc_fwhm,20,35,15.0734059235043,0.0789170268076045,-0.0052923933192277,0.150024892210608
ip_max__w_fwhm__sp_local_avg__sc_fwhm,22,30,17.2137025922607,0.0703805764109896,0.371265323350614,0.438281461434205
ip_max__w_fwhm__sp_local_avg__sc_fwhm,24,30,12.5009863451298,0.0659008764349502,0.588677796357489,0.545273968019861
ip_max__w_fwhm__sp_local_avg__sc_fwhm,26,30,13.100114869552,0.0581615830410284,0.113158888837026,0.489268757835634
ip_max__w_fwhm__sp_local_avg__sc_fwhm,28,25,10.2742671408049,0.054344184311836,0.00761787926643214,0.976277082689522
ip_max__w_fwhm__sp_local_avg__sc_fwhm,30,20,8.70317861525431,0.0542349634077962,-0.0201658099783739,1.42571856262834
ip_max__w_fwhm__sp_local_avg__sc_fwhm,32,15,30,0.0451439029157808,-1.23389105609369,0.504930773689202
ip_max__w_fwhm__sp_local_avg__sc_fwhm,34,30,6.27666287147563,0.000215233618816269,-4.58423301582542,3.03278265061199
ip_max__w_fwhm__sp_local_avg__sc_rms,4,35,21.4741266295253,0.289166891071462,0.252591576132003,0.348736813657363
ip_max__w_fwhm__sp_local_avg__sc_rms,6,35,21.1673597661233,0.279272791526239,0.204222140071873,0.321173994556078
ip_max__w_fwhm__sp_local_avg__sc_rms,8,35,20.1257057835343,0.244084879350048,0.107624111288373,0.270783387316389
ip_max__w_fwhm__sp_local_avg__sc_rms,10,35,18.8978502373663,0.201653947176535,NaN,0.2271438141752
ip_max__w_fwhm__sp_local_avg__sc_rms,12,35,17.5091523375039,0.168994037092579,NaN,0.227391764343793
ip_max__w_fwhm__sp_local_avg__sc_rms,14,35,16.5232967451266,0.135602469533866,NaN,0.246099722677735
ip_max__w_fwhm__sp_local_avg__sc_rms,16,35,15.3577651079767,0.109663353680607,NaN,0.233389624120029
ip_max__w_fwhm__sp_local_avg__sc_rms,18,35,14.52578362199,0.093020592592334,NaN,0.256914714849009
ip_max__w_fwhm__sp_local_avg__sc_rms,20,35,15.0734059235043,0.0789170268076045,NaN,0.16469069711094
ip_max__w_fwhm__sp_local_avg__sc_rms,22,30,17.2137025922607,0.0703805764109896,0.490677826617437,0.422464710397976
ip_max__w_fwhm__sp_local_avg__sc_rms,24,30,12.5009863451298,0.0659008764349502,0.0425703586329276,0.290671854872479
ip_max__w_fwhm__sp_local_avg__sc_rms,26,30,13.100114869552,0.0581615830410284,-0.422513672071674,0.246746862062857
ip_max__w_fwhm__sp_local_avg__sc_rms,28,25,10.2742671408049,0.054344184311836,-0.0352734191128977,0.253268961550414
ip_max__w_fwhm__sp_local_avg__sc_rms,30,20,8.70317861525431,0.0542349634077962,NaN,0.321419205351227
ip_max__w_fwhm__sp_local_avg__sc_rms,32,15,30,0.0451439029157808,-1.46065481300148,0.509294813269741
ip_max__w_fwhm__sp_local_avg__sc_rms,34,30,6.27666287147563,0.000215233618816269,NaN,2.9285449622092
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,4,35,21.4741266295253,0.289166891071462,0.0390686089689481,0.247595637690268
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,6,35,21.1673597661233,0.279272791526239,-0.0305014316532918,0.241170528876874
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,8,35,20.1257057835343,0.244084879350048,-0.166992655481497,0.221409483793135
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,10,35,18.8978502373663,0.201653947176535,-0.239037430648836,0.197993638895064
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,12,35,17.5091523375039,0.168994037092579,NaN,0.172120997717846
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,14,35,16.5232967451266,0.135602469533866,NaN,0.159735920254926
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,16,35,15.3577651079767,0.109663353680607,NaN,0.153664815908071
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,18,35,14.52578362199,0.093020592592334,NaN,0.143340176410008
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,20,35,15.0734059235043,0.0789170268076045,NaN,0.121569055609039
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,22,30,17.2137025922607,0.0703805764109896,0.44531211084637,0.266413613590141
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,24,30,12.5009863451298,0.0659008764349502,0.0706855783168312,0.18170382469593
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,26,30,13.100114869552,0.0581615830410284,NaN,0.195656830169252
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,28,25,10.2742671408049,0.054344184311836,NaN,0.125766417177937
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,30,20,8.70317861525431,0.0542349634077962,NaN,0.0469824970204037
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,32,15,30,0.0451439029157808,NaN,0.0725446861618467
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,34,30,6.27666287147563,0.000215233618816269,NaN,2.13361875197877
ip_max__w_fwhm__sp_local_median__sc_fwhm,4,35,21.4741266295253,0.268847171789871,0.50866771993373,0.236169020424814
ip_max__w_fwhm__sp_local_median__sc_fwhm,6,35,21.1673597661233,0.250488593439895,0.483518300129729,0.200714167564918
ip_max__w_fwhm__sp_local_median__sc_fwhm,8,35,20.1257057835343,0.2344494992722,0.369360760136865,0.168122462734599
ip_max__w_fwhm__sp_local_median__sc_fwhm,10,35,18.8978502373663,0.200197314257807,0.142649952099818,0.141648035587028
ip_max__w_fwhm__sp_local_median__sc_fwhm,12,35,17.5091523375039,0.15927716213462,0.148871406654168,0.10789057426927
ip_max__w_fwhm__sp_local_median__sc_fwhm,14,35,16.5232967451266,0.124701192359837,0.154457544767941,0.114765165902412
ip_max__w_fwhm__sp_local_median__sc_fwhm,16,35,15.3577651079767,0.099398653953913,0.120173278669231,0.137343071092843
ip_max__w_fwhm__sp_local_median__sc_fwhm,18,35,14.52578362199,0.0864861551912553,0.035232038748448,0.153371324830203
ip_max__w_fwhm__sp_local_median__sc_fwhm,20,35,15.0734059235043,0.0814300845096031,-0.00512906191814922,0.0613970004289823
ip_max__w_fwhm__sp_local_median__sc_fwhm,22,30,17.2137025922607,0.0832202553642621,0.313984466215058,0.334469440727479
ip_max__w_fwhm__sp_local_median__sc_fwhm,24,30,12.5009863451298,0.0545631856614726,0.710999224980125,0.266557258626488
ip_max__w_fwhm__sp_local_median__sc_fwhm,26,30,13.100114869552,0.0693882621296171,0.0948503379091834,0.263814414356171
ip_max__w_fwhm__sp_local_median__sc_fwhm,28,25,10.2742671408049,0.0428984469542497,0.00965040611754115,0.468359185532691
ip_max__w_fwhm__sp_local_median__sc_fwhm,30,20,8.70317861525431,0.0380258836809851,-0.0287617764636618,0.743042810468518
ip_max__w_fwhm__sp_local_median__sc_fwhm,32,15,30,0.0451439029157808,-1.23389105609369,0.513729067977141
ip_max__w_fwhm__sp_local_median__sc_fwhm,34,30,6.27666287147563,0.000552867428264816,-1.78466122446359,1.1838471558179
ip_max__w_fwhm__sp_local_median__sc_rms,4,35,21.4741266295253,0.268847171789871,0.271682682375473,0.239943732996291
ip_max__w_fwhm__sp_local_median__sc_rms,6,35,21.1673597661233,0.250488593439895,0.227689757709546,0.201055812027687
