variant_id,I_peak,width,S_peak,kappa1,collapse_rmse
ip_max__w_fwhm__sp_max__sc_fwhm,1,1,1,1,1
ip_max__w_fwhm__sp_max__sc_rms,1,1,1,0.914490709444695,0.661450164052774
ip_max__w_fwhm__sp_max__sc_asymmetric,1,1,1,0.435718388182202,0.253942655200795
ip_max__w_fwhm__sp_local_avg__sc_fwhm,1,1,0.994582156131217,0.867444245670472,2.64382440390021
ip_max__w_fwhm__sp_local_avg__sc_rms,1,1,0.994582156131217,0.937140201292808,2.06744743510195
ip_max__w_fwhm__sp_local_avg__sc_asymmetric,1,1,0.994582156131217,0.465676101542853,1.38623621834722
ip_max__w_fwhm__sp_local_median__sc_fwhm,1,1,0.986537192377176,0.988124126414457,1.71164728988439
ip_max__w_fwhm__sp_local_median__sc_rms,1,1,0.986537192377176,0.953125102953487,1.56622562142106
ip_max__w_fwhm__sp_local_median__sc_asymmetric,1,1,0.986537192377176,0.529813208094943,0.993057738121285
ip_max__w_rms__sp_max__sc_fwhm,1,0.51322210299837,1,1,1
ip_max__w_rms__sp_max__sc_rms,1,0.51322210299837,1,0.914490709444695,0.661450164052774
ip_max__w_rms__sp_max__sc_asymmetric,1,0.51322210299837,1,0.435718388182202,0.253942655200795
ip_max__w_rms__sp_local_avg__sc_fwhm,1,0.51322210299837,0.994582156131217,0.867444245670472,2.64382440390021
ip_max__w_rms__sp_local_avg__sc_rms,1,0.51322210299837,0.994582156131217,0.937140201292808,2.06744743510195
ip_max__w_rms__sp_local_avg__sc_asymmetric,1,0.51322210299837,0.994582156131217,0.465676101542853,1.38623621834722
ip_max__w_rms__sp_local_median__sc_fwhm,1,0.51322210299837,0.986537192377176,0.988124126414457,1.71164728988439
ip_max__w_rms__sp_local_median__sc_rms,1,0.51322210299837,0.986537192377176,0.953125102953487,1.56622562142106
ip_max__w_rms__sp_local_median__sc_asymmetric,1,0.51322210299837,0.986537192377176,0.529813208094943,0.993057738121285
ip_max__w_iqr__sp_max__sc_fwhm,1,0.317069707093357,1,1,1
ip_max__w_iqr__sp_max__sc_rms,1,0.317069707093357,1,0.914490709444695,0.661450164052774
ip_max__w_iqr__sp_max__sc_asymmetric,1,0.317069707093357,1,0.435718388182202,0.253942655200795
ip_max__w_iqr__sp_local_avg__sc_fwhm,1,0.317069707093357,0.994582156131217,0.867444245670472,2.64382440390021
ip_max__w_iqr__sp_local_avg__sc_rms,1,0.317069707093357,0.994582156131217,0.937140201292808,2.06744743510195
ip_max__w_iqr__sp_local_avg__sc_asymmetric,1,0.317069707093357,0.994582156131217,0.465676101542853,1.38623621834722
ip_max__w_iqr__sp_local_median__sc_fwhm,1,0.317069707093357,0.986537192377176,0.988124126414457,1.71164728988439
ip_max__w_iqr__sp_local_median__sc_rms,1,0.317069707093357,0.986537192377176,0.953125102953487,1.56622562142106
ip_max__w_iqr__sp_local_median__sc_asymmetric,1,0.317069707093357,0.986537192377176,0.529813208094943,0.993057738121285
ip_max__w_asymmetric__sp_max__sc_fwhm,1,1,1,1,1
ip_max__w_asymmetric__sp_max__sc_rms,1,1,1,0.914490709444695,0.661450164052774
ip_max__w_asymmetric__sp_max__sc_asymmetric,1,1,1,0.89462104868424,0.36846968921449
ip_max__w_asymmetric__sp_local_avg__sc_fwhm,1,1,0.994582156131217,0.867444245670472,2.64382440390021
ip_max__w_asymmetric__sp_local_avg__sc_rms,1,1,0.994582156131217,0.937140201292808,2.06744743510195
ip_max__w_asymmetric__sp_local_avg__sc_asymmetric,1,1,0.994582156131217,0.928082648479947,1.33991481738814
ip_max__w_asymmetric__sp_local_median__sc_fwhm,1,1,0.986537192377176,0.988124126414457,1.71164728988439
ip_max__w_asymmetric__sp_local_median__sc_rms,1,1,0.986537192377176,0.953125102953487,1.56622562142106
ip_max__w_asymmetric__sp_local_median__sc_asymmetric,1,1,0.986537192377176,0.943156778025934,0.912540649885803
ip_com__w_fwhm__sp_max__sc_fwhm,0.977047988339832,1,1,0.915877691895338,0.578261487203525
ip_com__w_fwhm__sp_max__sc_rms,0.977047988339832,1,1,0.896816250353485,0.556270274309469
ip_com__w_fwhm__sp_max__sc_asymmetric,0.977047988339832,1,1,0.37109544219633,0.383565644118491
ip_com__w_fwhm__sp_local_avg__sc_fwhm,0.977047988339832,1,0.994641690557569,0.928005436016172,1.82991627743092
ip_com__w_fwhm__sp_local_avg__sc_rms,0.977047988339832,1,0.994641690557569,0.953457669658747,1.56155448524257
ip_com__w_fwhm__sp_local_avg__sc_asymmetric,0.977047988339832,1,0.994641690557569,0.374560463814904,1.71239295285682
ip_com__w_fwhm__sp_local_median__sc_fwhm,0.977047988339832,1,0.984865876155785,0.929659322082214,1.19073948684944
ip_com__w_fwhm__sp_local_median__sc_rms,0.977047988339832,1,0.984865876155785,0.982150291077557,1.15884616334194
ip_com__w_fwhm__sp_local_median__sc_asymmetric,0.977047988339832,1,0.984865876155785,0.450457812104744,1.41971424035458
ip_com__w_rms__sp_max__sc_fwhm,0.977047988339832,0.51322210299837,1,0.915877691895338,0.578261487203525
ip_com__w_rms__sp_max__sc_rms,0.977047988339832,0.51322210299837,1,0.896816250353485,0.556270274309469
