pipeline,file_path,final_output_role,phi1_used,detected_phi1_sources,canonical_phi1_source,status,NON_CANONICAL_PHI1,PHI1_MIXING_BLOCKED_GUARD
switching_a1_vs_mobility_test,analysis/switching_a1_vs_mobility_test.m,final_output,YES,run_2026_03_14_161801_switching_dynamic_shape_mode,run_2026_03_14_161801_switching_dynamic_shape_mode,CANONICAL_ENFORCED,FALSE,ENABLED
switching_a1_integral_consistency_test,analysis/switching_a1_integral_consistency_test.m,final_output,YES,run_2026_03_14_161801_switching_dynamic_shape_mode,run_2026_03_14_161801_switching_dynamic_shape_mode,CANONICAL_ENFORCED,FALSE,ENABLED
switching_activation_signature_test,analysis/switching_activation_signature_test.m,final_output,YES,run_2026_03_14_161801_switching_dynamic_shape_mode,run_2026_03_14_161801_switching_dynamic_shape_mode,CANONICAL_ENFORCED,FALSE,ENABLED
switching_a1_vs_geometry_deformation_test,analysis/switching_a1_vs_geometry_deformation_test.m,final_output,YES,run_2026_03_14_161801_switching_dynamic_shape_mode,run_2026_03_14_161801_switching_dynamic_shape_mode,CANONICAL_ENFORCED,FALSE,ENABLED
switching_ridge_temperature_susceptibility_test,analysis/switching_ridge_temperature_susceptibility_test.m,final_output,YES,run_2026_03_14_161801_switching_dynamic_shape_mode,run_2026_03_14_161801_switching_dynamic_shape_mode,CANONICAL_ENFORCED,FALSE,ENABLED
switching_a1_vs_curvature_test,Switching/analysis/switching_a1_vs_curvature_test.m,final_output,YES,run_2026_03_14_161801_switching_dynamic_shape_mode,run_2026_03_14_161801_switching_dynamic_shape_mode,CANONICAL_ENFORCED,FALSE,ENABLED
switching_ridge_susceptibility_test,Switching/analysis/switching_ridge_susceptibility_test.m,final_output,YES,run_2026_03_14_161801_switching_dynamic_shape_mode,run_2026_03_14_161801_switching_dynamic_shape_mode,CANONICAL_ENFORCED,FALSE,ENABLED
stage7_reconstructSwitching,Aging/pipeline/stage7_reconstructSwitching.m,reconstruction,NO,NONE,run_2026_03_14_161801_switching_dynamic_shape_mode,NO_PHI1_SOURCE_IN_THIS_STAGE,FALSE,NOT_APPLICABLE
reconstructSwitchingAmplitude,Aging/models/reconstructSwitchingAmplitude.m,reconstruction,NO,NONE,run_2026_03_14_161801_switching_dynamic_shape_mode,NO_PHI1_SOURCE_IN_THIS_STAGE,FALSE,NOT_APPLICABLE
switching_threshold_residual_structure_test,analysis/switching_threshold_residual_structure_test.m,final_output,NO,NONE,run_2026_03_14_161801_switching_dynamic_shape_mode,NO_DIRECT_PHI1_SOURCE,FALSE,NOT_APPLICABLE
switching_width_roughness_competition_test,analysis/switching_width_roughness_competition_test.m,final_output,NO,NONE,run_2026_03_14_161801_switching_dynamic_shape_mode,NO_DIRECT_PHI1_SOURCE,FALSE,NOT_APPLICABLE
x_vs_r_predictor_comparison_wrapper,run_x_vs_r_predictor_comparison_wrapper.m,final_output,NO,NONE,run_2026_03_14_161801_switching_dynamic_shape_mode,NO_DIRECT_PHI1_SOURCE,FALSE,NOT_APPLICABLE
