T_K,observable_error,kappa2,alpha
4,0.0149085544659036,-0.0640047699707212,-0.365489083964439
6,0.00924055133468666,-0.0605138392328379,-0.322826383381165
8,0.00440966125670919,-0.0497471999262748,-0.252873820606648
10,0.00611802706306922,-0.0256574859113368,-0.142556918673
12,0.00473391889963247,0.0477612085102726,0.315507089215186
14,0.00471409846873553,0.0594471535704106,0.480464779904895
16,0.00557503413491807,0.0752278921170503,0.706471460120773
18,0.00595882517200729,0.0836028764528488,0.856656351459244
20,0.0048077332842346,0.045131247968869,0.507430636294838
22,0.00945159432051751,0.104307225804054,2.71697214858441
24,0.0118172307484824,0.161844364344758,2.32146130117818
26,0.0100856680466385,0.0132129836315959,0.216654507664813
28,0.00802760781249073,0.0582242388396681,0.969404060602713
30,0.0251007421751022,-0.360386723953782,-7.4599439875785
