x,T_4_000K,T_6_000K,T_8_000K,T_10_000K,T_12_000K,T_14_000K,T_16_000K,T_18_000K,T_20_000K,T_22_000K,T_24_000K,T_26_000K,T_28_000K,T_30_000K
-0.574502744461243,-0.0656274528679935,-0.0651054833250772,-0.0616898653309047,-0.0543017292131531,-0.0534905916593629,-0.0460848220428318,-0.0392199148085459,-0.03719312857546,-0.0300125231929683,-0.0245246636100293,-0.0342937395609886,-0.0171269381872033,-0.0119132231011372,0.0380258836809851
-0.568689877955175,-0.064958888149225,-0.0644205908895658,-0.0609503391903348,-0.0537861827550271,-0.0530861756195221,-0.0455695374497211,-0.0389088980109492,-0.0369173901321306,-0.0296849229200188,-0.0244503398559346,-0.0341958822596487,-0.0167263144287747,-0.0123045195736861,0.0378635042472475
-0.562877011449107,-0.0642903234304565,-0.0637356984540544,-0.0602108130497648,-0.0532706362969011,-0.0524027207015412,-0.0450542528566105,-0.0385978812133524,-0.0366416516888012,-0.0293573226470693,-0.02437601610184,-0.0340980249583089,-0.016325690670346,-0.012695816046235,0.0377011248135099
-0.557064144943039,-0.063621758711688,-0.063050806018543,-0.0594712869091949,-0.0527550898387751,-0.0517192657835603,-0.0445389682634998,-0.0382868644157557,-0.0363659132454718,-0.0290297223741198,-0.0243016923477453,-0.034000167656969,-0.0159250669119173,-0.0130871125187839,0.0375387453797724
-0.551251278436971,-0.0629531939929194,-0.0623659135830315,-0.058731760768625,-0.0522395433806491,-0.0510358108655795,-0.0440236836703891,-0.0379758476181589,-0.0360901748021424,-0.0287021221011703,-0.0242273685936506,-0.0339023103556292,-0.0155244431534886,-0.0134784089913328,0.0373763659460348
-0.545438411930903,-0.0622846292741509,-0.0616810211475201,-0.0579922346280551,-0.0517239969225231,-0.0503523559475986,-0.0435083990772785,-0.0376648308205622,-0.035814436358813,-0.0283745218282208,-0.024153044839556,-0.0338044530542893,-0.0151238193950599,-0.0138697054638817,0.0372139865122972
-0.539625545424835,-0.0616160645553824,-0.0609961287120087,-0.0572527084874852,-0.0512084504643971,-0.0496689010296177,-0.0429931144841678,-0.0373538140229654,-0.0355386979154836,-0.0280469215552713,-0.0240787210854613,-0.0337065957529495,-0.0147231956366312,-0.0142610019364306,0.0370516070785596
-0.533812678918767,-0.0609474998366139,-0.0603112362764973,-0.0565131823469153,-0.0506929040062711,-0.0489854461116368,-0.0424778298910572,-0.0370427972253687,-0.0352629594721542,-0.0277193212823218,-0.0240043973313667,-0.0336087384516096,-0.0143225718782025,-0.0146522984089795,0.0368892276448221
-0.527999812412699,-0.0602789351178454,-0.0596263438409859,-0.0557736562063454,-0.050081242198474,-0.048301991193656,-0.0419625452979465,-0.0367317804277719,-0.0349872210288248,-0.0273917210093723,-0.023930073577272,-0.0335108811502698,-0.0139219481197738,-0.0150435948815284,0.0367268482110845
-0.522186945906632,-0.0596103703990768,-0.0589414514054745,-0.0550341300657755,-0.0490844286075281,-0.0476185362756751,-0.0414472607048359,-0.0364207636301752,-0.0347114825854954,-0.0270641207364228,-0.0238557498231774,-0.0334130238489299,-0.0135213243613451,-0.0154348913540773,0.0365644687773469
-0.516374079400564,-0.0589418056803083,-0.0582565589699631,-0.0542946039252055,-0.0480876150165822,-0.0469350813576942,-0.0409319761117252,-0.0361097468325784,-0.034435744142166,-0.0267365204634733,-0.0237814260690827,-0.0333151665475901,-0.0131207006029164,-0.0158261878266262,0.0364020893436093
-0.510561212894496,-0.0582732409615398,-0.0575716665344517,-0.0535550777846356,-0.0470908014256363,-0.0462516264397133,-0.0404166915186145,-0.0357987300349817,-0.0341600056988366,-0.0264089201905238,-0.0237071023149881,-0.0332173092462502,-0.0127200768444877,-0.0162174842991751,0.0362397099098717
-0.504748346388428,-0.0576046762427713,-0.0568867740989403,-0.0528155516440657,-0.0460939878346904,-0.0455681715217325,-0.0399014069255039,-0.0354877132373849,-0.0338842672555072,-0.0260813199175743,-0.0236327785608934,-0.0331194519449104,-0.012319453086059,-0.016608780771724,0.0360773304761342
-0.49893547988236,-0.0569361115240027,-0.0562018816634289,-0.0520760255034958,-0.0450971742437445,-0.0448847166037516,-0.0393861223323932,-0.0351766964397882,-0.0336085288121778,-0.0257537196446247,-0.0235584548067987,-0.0330215946435705,-0.0119188293276303,-0.0170000772442729,0.0359149510423966
-0.493122613376292,-0.0562675468052342,-0.0555169892279174,-0.0510387146059612,-0.0441003606527987,-0.0442012616857707,-0.0388708377392826,-0.0348656796421914,-0.0333327903688484,-0.0254261193716752,-0.0234841310527041,-0.0329237373422307,-0.0115182055692016,-0.0173913737168218,0.035752571608659
-0.487309746870224,-0.0555989820864657,-0.054832096792406,-0.0498381304085859,-0.0431035470618528,-0.0435178067677898,-0.0383555531461719,-0.0345546628445947,-0.033057051925519,-0.0250985190987257,-0.0234098072986094,-0.0328258800408908,-0.0111175818107729,-0.0177826701893707,0.0355901921749214
-0.481496880364156,-0.0549304173676972,-0.0541472043568946,-0.0486375462112107,-0.0421067334709069,-0.042834351849809,-0.0378402685530612,-0.0342436460469979,-0.0327813134821896,-0.0247709188257762,-0.0233354835445148,-0.032728022739551,-0.0107169580523442,-0.0176380318557108,0.0354278127411839
-0.475684013858088,-0.0542618526489287,-0.0534623119213832,-0.0474369620138354,-0.041109919879961,-0.0421508969318281,-0.0373249839599506,-0.0339326292494012,-0.0325055750388602,-0.0244433185528267,-0.0232611597904201,-0.0326301654382111,-0.0103163342939155,-0.0174250968839837,0.0352654333074463
-0.46987114735202,-0.0535932879301601,-0.0524935027758475,-0.0462363778164602,-0.0401131062890151,-0.0414674420138472,-0.0368096993668399,-0.0336216124518044,-0.0322298365955308,-0.0241157182798772,-0.0231868360363255,-0.0325323081368713,-0.00991571053548679,-0.0172121619122566,0.0351030538737087
-0.464058280845952,-0.0527389747447193,-0.0511625030598026,-0.045035793619085,-0.0391162926980692,-0.0407839870958664,-0.0362944147737293,-0.0333105956542077,-0.0319540981522014,-0.0237881180069277,-0.0231125122822308,-0.0324344508355314,-0.0095150867770581,-0.0169992269405295,0.0349406744399711
-0.458245414339884,-0.0514032502129599,-0.0498315033437578,-0.0438352094217097,-0.0381194791071233,-0.0401005321778855,-0.0357791301806186,-0.0329995788566109,-0.031678359708872,-0.0234605177339782,-0.0230381885281361,-0.0323365935341916,-0.0091144630186294,-0.0167862919688024,0.0347782950062336
-0.452432547833816,-0.0500675256812004,-0.0485005036277129,-0.0426346252243345,-0.0371226655161774,-0.0394170772599046,-0.035263845587508,-0.0326885620590142,-0.0314026212655426,-0.0231329174610287,-0.0229638647740415,-0.0322387362328517,-0.0087138392602007,-0.0165733569970754,0.034615915572496
-0.446619681327748,-0.0487318011494409,-0.047169503911668,-0.0414340410269593,-0.0361258519252315,-0.0387336223419237,-0.0347485609943973,-0.0323775452614174,-0.0311268828222132,-0.0228053171880792,-0.0228895410199468,-0.0321408789315119,-0.008313215501772,-0.0163604220253483,0.0344535361387584
-0.44080681482168,-0.0473960766176814,-0.0458385041956232,-0.040233456829584,-0.0351290383342856,-0.0380501674239428,-0.0342332764012866,-0.0320665284638207,-0.0308511443788838,-0.0224777169151297,-0.0228152172658522,-0.032043021630172,-0.0079125917433433,-0.0161474870536212,0.0342911567050208
-0.434993948315613,-0.0460603520859219,-0.0445075044795783,-0.0390328726322088,-0.0341322247433397,-0.037366712505962,-0.033717991808176,-0.0317555116662239,-0.0305754059355545,-0.0221501166421802,-0.0227408935117575,-0.0319451643288322,-0.0075119679849146,-0.0159345520818941,0.0341287772712833
-0.429181081809545,-0.0447246275541624,-0.0431765047635335,-0.0378322884348335,-0.0331354111523938,-0.0366832575879811,-0.0332027072150653,-0.0314444948686272,-0.0302996674922251,-0.0218225163692307,-0.0226665697576629,-0.0318473070274923,-0.0071113442264859,-0.015721617110167,0.0339663978375457
-0.423368215303477,-0.0433889030224029,-0.0418455050474886,-0.0366317042374583,-0.0321385975614479,-0.0359998026700002,-0.0326874226219547,-0.0311334780710304,-0.0300239290488957,-0.0214949160962812,-0.0225922460035682,-0.0317494497261525,-0.00671072046805721,-0.0155086821384399,0.0338040184038081
-0.417555348797409,-0.0420531784906434,-0.0405145053314438,-0.0354311200400831,-0.031141783970502,-0.0353163477520193,-0.032172138028844,-0.0308224612734337,-0.0297481906055663,-0.0211673158233317,-0.0225179222494735,-0.0316515924248126,-0.00631009670962851,-0.0152957471667129,0.0336416389700705
-0.411742482291341,-0.040717453958884,-0.0391835056153989,-0.0342305358427078,-0.0301449703795562,-0.0346328928340385,-0.0316568534357334,-0.0305114444758369,-0.0294724521622369,-0.0208397155503822,-0.0224435984953789,-0.0315537351234728,-0.00590947295119981,-0.0150828121949858,0.033479259536333
-0.405929615785273,-0.0393817294271245,-0.0378525058993541,-0.0330299516453326,-0.0291481567886103,-0.0339494379160576,-0.0311415688426227,-0.0302004276782402,-0.0291967137189075,-0.0205121152774327,-0.0223692747412842,-0.0314558778221329,-0.00550884919277112,-0.0148698772232587,0.0333168801025954
-0.400116749279205,-0.038046004895365,-0.0365215061833092,-0.0318293674479573,-0.0281513431976644,-0.0332659829980767,-0.030626284249512,-0.0298894108806434,-0.0289209752755781,-0.0201845150044832,-0.0222949509871896,-0.0313580205207931,-0.00510822543434242,-0.0146569422515316,0.0331545006688578
-0.394303882773137,-0.0367102803636055,-0.0351905064672644,-0.0306287832505821,-0.0271545296067185,-0.0325825280800959,-0.0301109996564014,-0.0295783940830467,-0.0286452368322487,-0.0198569147315337,-0.0222206272330949,-0.0308702374191954,-0.00470760167591372,-0.0144440072798045,0.0329921212351202
-0.388491016267069,-0.035374555831846,-0.0338595067512195,-0.0294281990532069,-0.0261577160157726,-0.031899073162115,-0.0295957150632907,-0.0292673772854499,-0.0283694983889193,-0.0195293144585842,-0.0221463034790003,-0.0303722452520605,-0.00430697791748502,-0.0142310723080774,0.0328297418013827
