"scope","model","T","metric","value"
"global","PT_ONLY","ALL","RMSE","0.00119976569154929"
"global","PT_ONLY","ALL","corr","0.999932395655933"
"global","PT_ONLY","ALL","residual_corr","NaN"
"global","PT_ONLY","ALL","collapse_rmse","0.166229547033825"
"per_T","PT_ONLY","4","RMSE_T","0.000667837201825118"
"per_T","PT_ONLY","6","RMSE_T","0.000708120212089477"
"per_T","PT_ONLY","8","RMSE_T","0.000580848760080669"
"per_T","PT_ONLY","10","RMSE_T","0.000692795077944879"
"per_T","PT_ONLY","18","RMSE_T","0.000557420799514771"
"per_T","PT_ONLY","20","RMSE_T","0.000784642624226379"
"per_T","PT_ONLY","22","RMSE_T","0.000652474702685908"
"per_T","PT_ONLY","24","RMSE_T","0.000784048624629571"
"per_T","PT_ONLY","26","RMSE_T","0.00303699043258822"
"global","PT_PLUS_LEGACY","ALL","RMSE","0.0555356049587325"
"global","PT_PLUS_LEGACY","ALL","corr","0.978837910117563"
"global","PT_PLUS_LEGACY","ALL","residual_corr","-0.0578313857611522"
"global","PT_PLUS_LEGACY","ALL","collapse_rmse","0.115653990498456"
"per_T","PT_PLUS_LEGACY","4","RMSE_T","0.0733103958416486"
"per_T","PT_PLUS_LEGACY","6","RMSE_T","0.0778924956198636"
"per_T","PT_PLUS_LEGACY","8","RMSE_T","0.0803643152656627"
"per_T","PT_PLUS_LEGACY","10","RMSE_T","0.0722591343103266"
"per_T","PT_PLUS_LEGACY","18","RMSE_T","0.0400930777236405"
"per_T","PT_PLUS_LEGACY","20","RMSE_T","0.0365688574699321"
"per_T","PT_PLUS_LEGACY","22","RMSE_T","0.01573775326914"
"per_T","PT_PLUS_LEGACY","24","RMSE_T","0.0288680276938244"
"per_T","PT_PLUS_LEGACY","26","RMSE_T","0.0247101997673717"
"global","PT_PLUS_LOCAL","ALL","RMSE","0.172829380806903"
"global","PT_PLUS_LOCAL","ALL","corr","0.916741079114121"
"global","PT_PLUS_LOCAL","ALL","residual_corr","-0.193998024708451"
"global","PT_PLUS_LOCAL","ALL","collapse_rmse","0.266844636614643"
"per_T","PT_PLUS_LOCAL","4","RMSE_T","0.245348955206678"
"per_T","PT_PLUS_LOCAL","6","RMSE_T","0.23499767136628"
"per_T","PT_PLUS_LOCAL","8","RMSE_T","0.209699751519787"
"per_T","PT_PLUS_LOCAL","10","RMSE_T","0.192254852864996"
"per_T","PT_PLUS_LOCAL","18","RMSE_T","0.145471606820473"
"per_T","PT_PLUS_LOCAL","20","RMSE_T","0.139169423804154"
"per_T","PT_PLUS_LOCAL","22","RMSE_T","0.149557780209524"
"per_T","PT_PLUS_LOCAL","24","RMSE_T","0.0166947770819118"
"per_T","PT_PLUS_LOCAL","26","RMSE_T","0.0964243854466638"
"comparison","COMPARISON","ALL","delta_rmse_legacy_vs_pt","-0.0543358392671832"
"comparison","COMPARISON","ALL","delta_rmse_local_vs_pt","-0.171629615115353"
"comparison","COMPARISON","ALL","delta_rmse_local_vs_legacy","-0.11729377584817"
"comparison","COMPARISON","ALL","delta_corr_local_vs_legacy","-0.0620968310034429"
