"field","value"
"INPUT_SWITCHING_CSV","results/switching/runs/run_2026_03_10_112659_alignment_audit/alignment_audit/switching_alignment_samples.csv"
"INPUT_PHI1_CSV","tables/phi1_local_shape_v2_20260329_234420.csv"
"INPUT_KAPPA1_LOCAL_CSV","tables/kappa1_phi1_local_v2_20260329_234420.csv"
"INPUT_KAPPA1_LEGACY_CSV","tables/kappa1_from_PT_aligned.csv"
"N_T_INTERSECTION","9"
"N_I_INTERSECTION","6"
"PT_SUFFICIENT","YES"
"LEGACY_IMPROVES_OVER_PT","NO"
"LOCAL_IMPROVES_OVER_PT","NO"
"LOCAL_BETTER_THAN_LEGACY","NO"
"SINGLE_MODE_SUFFICIENT","NO"
"FINAL_RECONSTRUCTION_MODEL","PT_ONLY"
