combo_id,t0_choice,normalization_choice,window_choice,supported,n_valid_traces,trace_corr_median,nrmse_median,nrmse_worst,log_slope_consistency_median,amplitude_like,timescale_like_s,mean_log_slope,rel_change_amplitude,rel_change_timescale,rel_change_mean_log_slope,median_temp_sensitivity,worst_temp_sensitivity,temp_of_worst_sensitivity_K,instability_localized_at_specific_T,stable_under_thresholds,stability_rank,stability_score
combo_01,earliest_valid_start,none,full_usable_window,true,19,1,0,0,1,0.0304330645419586,454.090171880923,-0.0124158749056306,0,0,0,0,0,NaN,NO,true,1,0
combo_02,earliest_valid_start,none,early_heavy_70pct,true,19,1,0,0,1,0.0304308408535153,454.090068592887,-0.017735389846416,7.30681736054605e-05,2.27461509686596e-07,0.42844463086311,0,0,3,NO,false,3,0.42844463086311
combo_03,earliest_valid_start,none,conservative_late_trimmed_85pct,true,19,1,0,0,1,0.0304320248051763,454.090123586218,-0.0146094186086006,3.41647086134144e-05,1.0635487795568e-07,0.176672503520095,0,0,3,NO,true,2,0.176672503520095
combo_04,earliest_valid_start,initial_amplitude_y_over_y0,full_usable_window,true,19,1,17.2301389081769,18.0633330835975,1,1.00516038443701,454.090171880923,-0.349483458444691,32.0285628334003,0,27.1481136932365,17.2301389081769,18.0633330835975,19,NO,false,18,67.1720348251747
combo_05,earliest_valid_start,initial_amplitude_y_over_y0,early_heavy_70pct,true,19,1,17.6494114131292,18.4772215235214,1,1.00510320345539,454.090068592887,-0.499082211360262,32.0266839236528,2.27461509686596e-07,39.197103720329,17.6494114131292,18.4772215235214,19,NO,false,24,75.1737366569796
combo_06,earliest_valid_start,initial_amplitude_y_over_y0,conservative_late_trimmed_85pct,true,19,1,17.4395364697548,18.2552272320358,1,1.00516383833722,454.090123586218,-0.411113850680862,32.0286763250998,1.0635487795568e-07,32.1119517396574,17.4395364697548,18.2552272320358,19,NO,false,20,67.6567154414479
combo_07,earliest_valid_start,tail_referenced_contrast,full_usable_window,true,19,1,17.1191200613499,18.0015885813548,1,1,454.090171880923,-0.347163228644203,31.8589977726786,0,26.9612376318938,17.1191200613499,18.0015885813548,19,NO,false,17,66.8297064153833
combo_08,earliest_valid_start,tail_referenced_contrast,early_heavy_70pct,true,19,1,17.535850170484,18.4147537028814,1,1,454.090068592887,-0.495823658891565,31.8589977726786,2.27461509686596e-07,38.9346532290456,17.535850170484,18.4147537028814,19,NO,false,22,74.735257102411
combo_09,earliest_valid_start,tail_referenced_contrast,conservative_late_trimmed_85pct,true,19,1,17.3275350522489,18.1926549146754,1,1,454.090123586218,-0.408396832129919,31.8589977726786,1.0635487795568e-07,31.8931174994935,17.3275350522489,18.1926549146754,19,NO,false,19,67.2633074664178
combo_10,post_settling_start_10pct,none,full_usable_window,true,19,0.39212678845267,0.537468480963043,0.597993156609351,0.0538731886874956,0.0933014562947505,133.010490204431,-0.000864275290177691,2.06579234457687,0.707083530010179,0.930389497578963,0.537468480963043,0.597993156609351,35,NO,false,7,4.6052540050091
