"key","value"
"PREVIOUS_RESULT_VALID","NO"
"PREVIOUS_RESULT_REASON","Observable mixing (invalid robustness test)"
"COHERENT_GROUP_USED","raw_xy_delta_vs_baseline_aware (same channel/normalization, baseline/readout definition variation only)"
"FILES_ANALYZED","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_014529_switching_physics_output_robustness_fast\physics_output_robustness\tables\variant_observables_raw_xy_delta.csv; C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_014529_switching_physics_output_robustness_fast\physics_output_robustness\tables\variant_observables_baseline_aware.csv"
"EXCLUDED_AS_INVALID_MIX","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_014529_switching_physics_output_robustness_fast\physics_output_robustness\tables\variant_observables_xy_over_xx.csv"
"CONTRACT_SANITY_OK","YES"
"IPEAK_STABLE","NO"
"WIDTH_STABLE","YES"
"SPEAK_STABLE","NO"
"KAPPA1_STABLE","NO"
"COLLAPSE_STABLE","NO"
"INTRA_DEFINITION_ROBUST","NO"
