"key","value"
"LATEST_RUN_USED","C:/Dev/matlab-functions/results/switching/runs/run_2026_03_29_014529_switching_physics_output_robustness_fast"
"INPUT_TABLE_DIR","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_014529_switching_physics_output_robustness_fast\physics_output_robustness\tables"
"CONTRACT_DETAILS","required columns present, row counts matched, exact T_K alignment verified, no all-NaN required columns"
"CONTRACT_SANITY_OK","YES"
"IPEAK_STABLE","NO"
"WIDTH_STABLE","YES"
"SPEAK_STABLE","NO"
"KAPPA1_STABLE","NO"
"COLLAPSE_STABLE","NO"
"MEASUREMENT_PHYSICS_ROBUST","NO"
