metric,value
NEW_SYSTEM_RUN_COMPLETED,NO
RUN_COMPLETED,NO
EXECUTION_VALID,NO
MAP_CORRELATION,NaN
MAP_RMSE,NaN
PHI1_COSINE_SIMILARITY,NaN
PHI1_SHAPE_COMPARISON,NaN
KAPPA1_CORRELATION,NaN
KAPPA1_SCALING_CONSISTENCY,NaN
DELTA_RMSE_PT_TO_PT_PLUS_PHI1_NEW,NaN
DELTA_RMSE_PT_TO_PT_PLUS_PHI1_OLD,NaN
IMPROVEMENT_CONSISTENCY,NO
PHI1_EXISTS_STABLE,NO
PT_ALONE_INSUFFICIENT_UNCHANGED,NO
COLLAPSE_BEHAVIOR_UNCHANGED,NO
MAP_PRESERVED,INVALID
PHI1_PRESERVED,INVALID
KAPPA1_PRESERVED,INVALID
RECONSTRUCTION_PRESERVED,INVALID
PHYSICS_PRESERVED,INVALID
