metric,value
NEW_SYSTEM_RUN_COMPLETED,NO
RUN_COMPLETED,NO
EXECUTION_VALID,NO
SUBSET_TEMPERATURES_USED,
SUBSET_CURRENT_COUNT,0
MAP_CORRELATION,NaN
MAP_RMSE,NaN
PHI1_COSINE_SIMILARITY,NaN
PHI1_SHAPE_COMPARISON,NaN
KAPPA1_CORRELATION,NaN
KAPPA1_SCALING_SLOPE,NaN
DELTA_RMSE_PT_TO_PT_PLUS_PHI1_NEW,NaN
DELTA_RMSE_PT_TO_PT_PLUS_PHI1_OLD,NaN
DELTA_RMSE_DIFFERENCE,NaN
COLLAPSE_METRIC_NEW,NaN
COLLAPSE_METRIC_OLD,NaN
COLLAPSE_METRIC_DIFFERENCE,NaN
MAP_PRESERVED,INVALID
PHI1_PRESERVED,INVALID
KAPPA1_PRESERVED,INVALID
RECONSTRUCTION_PRESERVED,INVALID
PHYSICS_PRESERVED,INVALID
